measurement_id,operation,credential_count,repetition_count,calls_per_repetition,total_measured_calls,timer,average_ns_min,average_ns_median,average_ns_max,median_ns_min,median_ns_median,median_ns_max,p95_ns_min,p95_ns_median,p95_ns_max,throughput_min,throughput_median,throughput_max,interpretation
mixed_controller_submit_10,mixed_controller_submit,10,3,1000,3000,time.perf_counter_ns,7411.127,7820.085,8158.465,7200.0,7266.0,7357.5,10347,10783,11220,122572.07697771578,127875.84789679396,134932.2444481116,Mixed request processing through Controller.submit; not isolated lookup timing; median values summarize repetition-level aggregates.
mixed_controller_submit_100,mixed_controller_submit,100,3,1000,3000,time.perf_counter_ns,7026.045,7032.656,7366.341,6866.0,6968.5,6990.5,9590,9601,9821,135752.60770577958,142193.7885202973,142327.5825873589,Mixed request processing through Controller.submit; not isolated lookup timing; median values summarize repetition-level aggregates.
mixed_controller_submit_1000,mixed_controller_submit,1000,3,1000,3000,time.perf_counter_ns,7499.49,7882.918,8938.383,7283.5,7317.0,7522.0,10312,10520,10942,111877.05874765044,126856.57772921144,133342.40061657527,Mixed request processing through Controller.submit; not isolated lookup timing; median values summarize repetition-level aggregates.
mixed_controller_submit_10000,mixed_controller_submit,10000,3,10000,30000,time.perf_counter_ns,7982.8124,8189.5002,8211.0671,7571.5,7670.5,7698.0,11102,11257,11438,121786.85033520186,122107.5737930869,125269.13447195628,Mixed request processing through Controller.submit; not isolated lookup timing; median values summarize repetition-level aggregates.
credential_repository_lookup_10,credential_repository_lookup,10,3,1000,3000,time.perf_counter_ns,286.191,297.496,320.778,269.0,272.0,286.0,328,351,366,3117420.770751111,3361389.7329712,3494169.97739272,Direct CredentialRepository.lookup host timing; repository construction excluded; median values summarize repetition-level aggregates.
credential_repository_lookup_100,credential_repository_lookup,100,3,1000,3000,time.perf_counter_ns,271.767,278.224,306.548,266.5,267.0,290.5,324,335,379,3262131.868418649,3594226.2349761343,3679622.617904308,Direct CredentialRepository.lookup host timing; repository construction excluded; median values summarize repetition-level aggregates.
credential_repository_lookup_1000,credential_repository_lookup,1000,3,1000,3000,time.perf_counter_ns,291.953,292.728,295.824,283.0,289.0,290.5,349,361,402,3380388.339012386,3416140.58101719,3425208.8521097573,Direct CredentialRepository.lookup host timing; repository construction excluded; median values summarize repetition-level aggregates.
credential_repository_lookup_10000,credential_repository_lookup,10000,3,1000,3000,time.perf_counter_ns,294.767,351.938,416.956,290.0,334.0,334.0,372,532,674,2398334.596456221,2841409.5664577284,3392510.0163858235,Direct CredentialRepository.lookup host timing; repository construction excluded; median values summarize repetition-level aggregates.
authorization_decision_10,authorization_decision,10,3,1000,3000,time.perf_counter_ns,557.965,590.139,601.094,564.0,595.0,597.0,655,680,717,1663633.3086006516,1694516.0377470392,1792227.1110195084,Direct authorize host timing; credential lookup excluded; median values summarize repetition-level aggregates.
authorization_decision_100,authorization_decision,100,3,1000,3000,time.perf_counter_ns,560.972,565.264,623.174,577.0,578.0,586.0,640,654,696,1604688.2572122714,1769084.8877692546,1782620.1664254188,Direct authorize host timing; credential lookup excluded; median values summarize repetition-level aggregates.
authorization_decision_1000,authorization_decision,1000,3,1000,3000,time.perf_counter_ns,599.708,616.682,620.939,586.0,608.0,610.0,714,718,723,1610464.1518732114,1621581.3012216995,1667478.1727107193,Direct authorize host timing; credential lookup excluded; median values summarize repetition-level aggregates.
authorization_decision_10000,authorization_decision,10000,3,1000,3000,time.perf_counter_ns,607.636,614.437,627.181,587.0,595.5,615.5,682,694,719,1594436.0559391945,1627506.1560420352,1645722.1099474027,Direct authorize host timing; credential lookup excluded; median values summarize repetition-level aggregates.
