requirement_id,requirement_summary,architecture_element_id,architecture_artifact,design_status,notes
SCP-001,"Use working title and pending-approval status.",ARC-GOV-001,docs/architecture.md,designed,"Document status preserves owner and supervisor roles."
SCP-002,"Model only authorization and abstract outputs.",ARC-BND-001,docs/architecture.md,designed,"System boundary ends at logical permission state."
SCP-003,"Represent LF and HF as logical source labels.",ARC-INP-001,docs/architecture.md,designed,"Source metadata is separate from bits."
SCP-004,"Represent floors 1–16 with 16 logical outputs.",ARC-OUT-001,docs/architecture.md,designed,"Output owner enforces shape and single-active invariant."
SCP-005,"Require no hardware, device I/O, or network.",ARC-BND-001,docs/architecture.md,designed,"Physical interfaces are conceptual-only."
SCP-006,"Complete MVP before optional work.",ARC-GOV-001,docs/architecture.md,designed,"Handoff prioritizes required behavior."
SCP-007,"Gate physical scope and equivalence.",ARC-GOV-001,docs/architecture.md,designed,"Supervisor approval remains pending."
FUN-001,"Receive one complete frame per request.",ARC-INP-001,docs/architecture.md,designed,"Atomic request and frame-acquisition boundary."
FUN-002,"Receive and retain LF or HF source.",ARC-INP-001,docs/architecture.md,designed,"Validated before frame content."
FUN-003,"Accept exactly 26 bits.",ARC-INP-001,docs/architecture.md,designed,"PROJECT_WIEGAND_26 only in MVP."
FUN-004,"Reject non-binary frame values.",ARC-INP-001,docs/architecture.md,designed,"Validation exits before decode."
FUN-005,"Validate both parity regions.",ARC-INP-001,docs/architecture.md,designed,"One parity_failure reason."
FUN-006,"Extract facility and credential numbers.",ARC-INP-001,docs/architecture.md,designed,"Decoded values feed composite lookup."
FUN-007,"Look up composite credential key.",ARC-CRD-001,docs/architecture.md,designed,"Repository owns lookup and records."
FUN-008,"Deny unknown and disabled credentials.",ARC-AUT-001,docs/architecture.md,designed,"Distinct deterministic reasons."
FUN-009,"Validate requested floor 1–16.",ARC-AUT-001,docs/architecture.md,designed,"Authorization owns floor validation."
FUN-010,"Grant only when permission bit is set.",ARC-AUT-001,docs/architecture.md,designed,"Uses frozen bit mapping."
FUN-011,"Activate only the granted output.",ARC-OUT-001,docs/architecture.md,designed,"Atomic one-bit activation."
FUN-012,"Reject requests while active as busy.",ARC-CTL-001,docs/architecture.md,designed,"Busy is checked before validation."
FUN-013,"Deactivate output at expiry.",ARC-OUT-001,docs/architecture.md,designed,"Clock-driven timeout clears state."
FUN-014,"Failure creates no new activation.",ARC-CTL-001,docs/architecture.md,designed,"Existing authorized activation is preserved when busy."
FUN-015,"Return idle and accept post-recovery request.",ARC-CTL-001,docs/architecture.md,designed,"Timeout and resets converge on idle."
FUN-016,"Support optional extra Wiegand profiles.",ARC-INP-001,docs/architecture.md,deferred_optional,"Separate named profiles only after MVP."
FUN-017,"Support optional authorization extensions.",ARC-AUT-001,docs/architecture.md,deferred_optional,"No extension behavior designed."
