asset_id,asset_type,path,intended_chapter,source_artifacts,caption_or_title,interpretation_limit,readiness_status,required_action,notes
AST-001,table,data/results/sp07_table_experiment_coverage.csv,9,data/results/sp07_experiment_catalog_integrated.csv;data/results/sp07_quantitative_summary_integrated.json,Accepted experiment evidence coverage,Shows accepted evidence availability and scope only; it does not add experiments or physical-system validation.,report_ready,Apply approved template styling without changing data,Manifest hash is authoritative.
AST-002,table,data/results/sp07_table_correctness.csv,10,results/scalability_results.json;data/results/sp07_isolated_operation_results.json,Deterministic correctness reconciliation,Constructed software workloads only; zero mismatches or other outcomes is not a population-level field error rate.,report_ready,Apply approved template styling without changing data,Use final-ledger wording.
AST-003,table,data/results/sp07_table_timing_summary.csv,10,results/scalability_results.json;data/results/sp07_isolated_operation_results.json,Repetition-level host timing summary,One recorded host and exactly three repetition aggregates per size; no raw pooling significance monotonic scaling constant-time hardware or cross-family ranking.,ready_with_limit,Retain all interpretation fields and operation boundaries,Contains 12 accepted rows.
AST-004,figure,docs/figures/sp07_mixed_controller_average_ns.svg,10,results/scalability_results.json;data/results/sp07_table_timing_summary.csv,Mixed controller request-processing timing,Points are repetition averages; the line is the median of three repetition averages; whiskers are repetition-average minima and maxima; mixed Controller.submit boundary; forbid cross-family ranking.,ready_with_limit,Use the accepted SVG unchanged and preserve its caption limits,Host-software observation only.
AST-005,figure,docs/figures/sp07_lookup_average_ns.svg,10,data/results/sp07_isolated_operation_results.json;data/results/sp07_table_timing_summary.csv,Credential repository lookup timing,Points are repetition averages; the line is the median of three repetition averages; whiskers are repetition-average minima and maxima; direct lookup excludes repository construction; forbid cross-family ranking.,ready_with_limit,Use the accepted SVG unchanged and preserve its caption limits,Not persistent-database timing.
AST-006,figure,docs/figures/sp07_authorization_average_ns.svg,10,data/results/sp07_isolated_operation_results.json;data/results/sp07_table_timing_summary.csv,Authorization decision timing,Points are repetition averages; the line is the median of three repetition averages; whiskers are repetition-average minima and maxima; direct authorization excludes credential lookup; forbid cross-family ranking.,ready_with_limit,Use the accepted SVG unchanged and preserve its caption limits,Host-software observation only.
AST-007,appendix_artifact,docs/requirements_to_test_traceability.csv,6,docs/requirements.md;docs/test_case_inventory.csv,Requirements-to-test traceability,Sixty required rows are verified and six optional rows remain deferred; software requirements only.,appendix_only,Select readable excerpts or reference the canonical file,Do not replace main-text requirements explanation.
AST-008,appendix_artifact,audit/validation/subproject_07_final_validation_ledger.csv,10,data/results/sp07_independent_review_summary.json,Final quantitative claim validation ledger,Every claim is supported with explicit limitations; it is interpretation authority rather than final prose.,appendix_only,Use selected rows or canonical reference,Hash must remain accepted.
AST-009,appendix_artifact,docs/reproducibility.md,15,README.md;pyproject.toml,Reproducibility instructions,Offline software reproduction only; no hardware device network database service or final release claim.,appendix_only,Map commands after format approval,Canonical instructions remain unchanged.
AST-010,table,docs/architecture.md,7,docs/requirements.md;docs/decision_log.md,Conceptual architecture source material,Project-specific proposed reference design; conceptual physical blocks are not implemented electronics.,ready_with_limit,Extract a bounded architecture-element table during SP-08.2,Do not rewrite canonical architecture.
AST-011,table,docs/register_model.md,7,docs/architecture.md;docs/requirements.md,Proposed logical register model,Logical observation model only; no MCU peripheral map physical address or capacity claim.,ready_with_limit,Select a readable register-map excerpt during SP-08.2,Project-specific design.
AST-012,diagram,docs/figures/top_level_architecture.mmd,7,docs/architecture.md;docs/requirements.md,Top-level proposed reference architecture,Conceptual-only blocks and abstract access-layer boundary; no electrical implementation is asserted.,ready_with_limit,Retain the canonical Mermaid source and generated SVG/PNG,Included as Figure 2 in the grading draft.
AST-013,diagram,docs/figures/controller_state_machine.mmd,7,docs/architecture.md;docs/register_model.md,Controller state machine,Project software state model only; not embedded firmware or physical control logic.,ready_with_limit,Retain the canonical Mermaid source and generated SVG/PNG,Included as Figure 4 in the grading draft.
AST-014,diagram,docs/figures/data_flow.mmd,7,docs/architecture.md;docs/software_design.md,Software-model data flow,Shows project module boundaries and abstract data; no physical reader or elevator interface behavior.,ready_with_limit,Retain the canonical Mermaid source and generated SVG/PNG,Included as Figure 3 in the grading draft.
AST-015,appendix_artifact,data/results/sp07_report_artifact_manifest.json,10,data/results/sp07_experiment_catalog.csv;data/results/sp07_quantitative_summary.json,SP-07 report-artifact manifest,Integrity and provenance record only; does not itself supply a quantitative conclusion.,appendix_only,Reference for asset integrity,Contains accepted hashes for all six report assets.
AST-016,appendix_artifact,docs/test_case_inventory.csv,15,docs/test_plan.md;docs/requirements_to_test_traceability.csv,Test-case inventory,Repository verification inventory only; it does not replace the report's verification explanation.,appendix_only,Reference selected traceability fields only,Retained as supporting verification material.
AST-017,diagram,docs/figures/system_context.mmd,2,docs/architecture.md;docs/requirements.md,System context and software-only project boundary,LF and HF are logical labels; outputs are abstract permission signals; no physical reader elevator interface or safety behavior is represented.,ready_with_limit,Retain the canonical Mermaid source and generated SVG/PNG,Included as Figure 1 in the grading draft.
AST-018,diagram,docs/figures/firmware_architecture.mmd,7,docs/architecture.md;docs/software_design.md,Proposed simulator responsibility architecture,Represents project module responsibilities; not embedded firmware or MCU selection or hardware execution.,ready_with_limit,Retain the canonical Mermaid source and generated SVG/PNG,Rendered but omitted from the report because it overlaps the data-flow and responsibility table.
AST-019,diagram,docs/figures/reset_sequence.mmd,7,docs/architecture.md;docs/software_design.md,Logical reset sequence,Startup and manual-reset and watchdog-reset behavior is simulated software behavior; not a physical fail-safe or safety-certification result.,ready_with_limit,Retain the canonical Mermaid source and generated SVG/PNG,Rendered but omitted from the report because reset is covered by Figures 4 and 5.
AST-020,diagram,docs/figures/watchdog_sequence.mmd,7,docs/architecture.md;docs/software_design.md,Simulated watchdog and heartbeat sequence,Uses simulated monotonic time; does not establish MCU-watchdog equivalence or real-time behavior or reliability or physical safety.,ready_with_limit,Retain the canonical Mermaid source and generated SVG/PNG,Included as Figure 5 in the grading draft.
