claim_id,claim_text,evidence_class,source_id,source_path,source_location,status,confidence,notes
CLM-001,"The original product URL was supplied by the project owners.",verified_product_evidence,PE-001,evidence/product_evidence.md,Preserved URLs,supported,high,"This verifies URL preservation only, not listing content or a product characteristic."
CLM-002,"The canonical product item URL was supplied by the project owners.",verified_product_evidence,PE-002,evidence/product_evidence.md,Preserved URLs,supported,high,"This verifies URL preservation only, not listing content or a product characteristic."
CLM-003,"The commercial card's microcontroller identity and processor architecture are unknown from available evidence.",unknown_or_unresolved,UNK-004,evidence/assumptions_and_unknowns.md,Unknowns,unresolved,high,"No readable marking or authoritative product document is available."
CLM-004,"The proposed reference data model may represent 16 floor permissions as a 16-bit mask.",proposed_reference_design,PRD-001,evidence/assumptions_and_unknowns.md,Possible future reference-design elements,not_applicable,medium,"Project data-model choice for later approval; not a verified property of the commercial card."
CLM-005,"The card is treated in this project as an access-authorization layer rather than motion or passenger-safety control.",engineering_inference,INF-001,evidence/assumptions_and_unknowns.md,Engineering inferences,partially_supported,medium,"Project scope interpretation; not a claim about the commercial implementation."
CLM-006,"RM0008 documents memory and bus architecture, memory organization, memory mapping, and boot configuration for STM32F10xxx devices.",external_technical_evidence,SRC-STM32-001,literature/STM32F101xx_2xx_3xx_5xx_7xx_UM.pdf,"Chapter 3, pp.48–61",supported,high,"Representative STM32-family evidence only; it does not identify commercial-card hardware."
CLM-007,"RM0008 documents GPIO, interrupt-controller, reset/clock, timer, watchdog, and USART concepts for STM32F10xxx devices.",external_technical_evidence,SRC-STM32-001,literature/STM32F101xx_2xx_3xx_5xx_7xx_UM.pdf,"Ch.7 pp.90–121; ch.9 pp.159–175; ch.10.1 p.196; chs.14–15; chs.19–20; ch.27",supported,high,"Family-specific reference material, not product-specific evidence."
CLM-008,"The ARM Developer Suite guide covers processor exceptions, ROM code, memory-map considerations, initialization, and memory-mapped I/O in its documented development context.",external_technical_evidence,SRC-ARM-001,"literature/ARM® Developer Suite.pdf","Ch.5; ch.6 §§6.1–6.9",supported,high,"Historical ARM development-guide context; not a commercial-product source."
CLM-009,"The ARMv7-A/R manual describes ARMv7 A and R profiles and identifies a separate manual for the ARMv7-M Microcontroller profile.",external_technical_evidence,SRC-ARM-002,literature/DDI0406C_C_ARMv7_arm_architecture_reference_manual.pdf,"Preface, About this manual, pp.xiv–xv",supported,high,"It is not the STM32 Cortex-M architecture manual and cannot support STM32-specific claims."
CLM-010,"The ARMADA 38x specification illustrates address maps, boot flow, and timer/watchdog functional-specification organization for a documented Marvell SoC.",external_technical_evidence,SRC-ARMADA-001,literature/A38x-Functional-Spec-PU0A.pdf,"Ch.4 pp.43–56; ch.6 p.67 onward; ch.8 pp.95–97",supported,high,"Documentation-organization example only; not proposed project hardware or product evidence."
