source_id,title,author_or_organization,year,source_type,canonical_path_or_url,authority,planned_report_use,metadata_status,access_status,citation_ready,missing_fields,notes
SRC-PRODUCT-001,Owner-supplied original AliExpress URL,,,product_url,"https://he.aliexpress.com/item/1005008317933284.html?spm=a2g0o.productlist.main.5.3316241cnftdI1&algo_pvid=d98d4c50-c5d1-4cea-8dc4-a9019a138e1e&algo_exp_id=d98d4c50-c5d1-4cea-8dc4-a9019a138e1e-4&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21ILS%21418.67%21372.62%21%21%211",Owner-supplied identifier,Identify intended listing only,insufficient,url_only,no,"listing content, author or seller identity, publication date, citable title",Exact owner-supplied URL; no technical product claim.
SRC-PRODUCT-002,Owner-supplied canonical AliExpress item URL,,,product_url,https://he.aliexpress.com/item/1005008317933284.html,Owner-supplied identifier,Identify intended listing only,insufficient,content_unavailable,no,"listing content, author or seller identity, publication date, citable title",Direct access failed and no capture is preserved.
SRC-PLAN-001,Final Engineering Project Plan,,,internal_project_document,final_engineering_project_plan.md,Project-authoritative plan,Project scope evidence,not_bibliographic,local_available,conditional,External publication metadata not applicable,May support internal project statements but is not automatically an external bibliography entry.
SRC-WORKFLOW-001,General-Purpose Evidence-Gated Project Workflow Handbook,,,internal_governance_document,general_purpose_evidence_gated_workflow_handbook_updated.md,Project workflow guidance,Evidence method and governance,not_bibliographic,local_available,conditional,"author and publication date not stated",Internal governance source rather than RFID or product evidence.
SRC-STM32-001,"STM32F101xx, STM32F102xx, STM32F103xx, STM32F105xx and STM32F107xx advanced ARM-based 32-bit MCUs",STMicroelectronics,2014,manufacturer_manual,literature/STM32F101xx_2xx_3xx_5xx_7xx_UM.pdf,Official manufacturer reference manual,Representative embedded-controller concepts,complete,local_available,yes,,RM0008 DocID13902 Rev 15 June 2014; not product evidence.
SRC-ARM-001,ARM Developer Suite Developer Guide,ARM Limited,2001,vendor_developer_guide,literature/ARM® Developer Suite.pdf,Official vendor guide,Historical initialization exception memory-map and debug concepts,complete,local_available,yes,,Version 1.2 ARM DUI 0056D Issue D November 2001.
SRC-ARM-002,ARM Architecture Reference Manual: ARMv7-A and ARMv7-R edition,ARM Limited,2014,vendor_architecture_manual,literature/DDI0406C_C_ARMv7_arm_architecture_reference_manual.pdf,Official vendor architecture manual,ARMv7-A/R terminology and scope,complete,local_available,yes,,ARM DDI 0406C.c ID051414; explicitly not ARMv7-M documentation.
SRC-ARM-003,The ARM Instruction Set,,,educational_slides,literature/arm instruction set very good book.pdf,Educational example material,Supplementary background only,partial,local_available,no,"verified author, publication date",ARM University Program V1.0 is visible; primary manuals are preferred.
SRC-ARM-004,ARM Instruction Set,,,educational_pdf,literature/arm-instructionset.pdf,Educational or technical material,Supplementary instruction terminology,partial,local_available,no,"verified author, publication date, complete title metadata",Visible chapter 4 material only; not product-specific.
SRC-ARMADA-001,ARMADA 38x Family Functional Specifications – Unrestricted,Marvell,2015,vendor_functional_specification,literature/A38x-Functional-Spec-PU0A.pdf,Official vendor specification,Functional-specification organization example,complete,local_available,yes,,MV-S109094-U0 Rev. A dated November 25 2015 and marked Preliminary.
SRC-ACADEMIC-001,Hebrew B.Sc. example project,עומר נחום,,academic_example,referenceProject/Example.pdf,Illustrative academic example,Report organization only,partial,local_available,no,"confirmed full title, year, institution and publication metadata",Do not copy prose or technical claims.
SRC-RFID-001,Guidelines for Securing Radio Frequency Identification (RFID) Systems,"Tom Karygiannis; Bernard Eydt; Greg Barber; Lynn Bunn; Ted Phillips",2007,government_technical_publication,literature/nist_sp_800_98_rfid.pdf,NIST Special Publication,General RFID and security concepts,complete,local_available,yes,,NIST SP 800-98 April 2007 DOI preserved in report/references.bib.
SRC-WIEGAND-001,Wiegand specification,BALTECH,,official_technical_webpage,https://docs.baltech.de/developers/wiegand.html,Official manufacturer documentation,General D0/D1 frame and parity concepts,partial,official_webpage,conditional,publication date,Scope is BALTECH firmware behavior rather than a universal electrical specification.
SRC-AUTH-001,Security and Privacy Controls for Information Systems and Organizations,Joint Task Force,2020,government_technical_publication,literature/nist_sp_800_53_rev5_1.pdf,NIST Special Publication,Authorization credential verification and access logging basis,complete,local_available,yes,,NIST SP 800-53 Rev. 5 Release 5.1 with recorded updates.
SRC-TEST-001,NASA Software Engineering Handbook Version D,National Aeronautics and Space Administration,,official_technical_webpage,https://swehb.nasa.gov/,Official NASA guidance,Traceability repeatable testing and results evaluation,partial,official_webpage,conditional,Individual page publication or update dates,Applicable page URLs and access date are preserved in evidence/source_index.md and report/references.bib.
SRC-MISSING-001,Authoritative RFID fundamentals source,,,missing_source,evidence/unresolved_sources.md,Unresolved-source register,Historical source-gap record,insufficient,resolved_by_SRC-RFID-001,no,Standalone missing source metadata,Minimum coverage is now supplied by SRC-RFID-001.
SRC-MISSING-002,Authoritative 125 kHz RFID source,,,missing_source,evidence/unresolved_sources.md,Unresolved-source register,Detailed LF context if later required,insufficient,minimum_resolved_detail_deferred,no,All bibliographic metadata,General minimum coverage is supplied by SRC-RFID-001.
