section_number,section_name,report_claim_ids,canonical_source_paths,external_citation_keys,asset_ids,mandatory_limitations,draft_review_status
1,Abstract,RPT-013;RPT-014;RPT-015;RPT-016;RPT-017;RPT-018;RPT-019;RPT-020;RPT-021;RPT-022;RPT-023;RPT-024;RPT-025,data/results/sp07_independent_review_summary.json;data/results/sp07_quantitative_summary_integrated.json;README.md,,AST-002;AST-003,"Software-only access layer; one-host repetition aggregates; no hardware, real-time, safety, statistical-significance, or constant-time conclusion.",drafted_with_limit
2,Introduction,RPT-001;RPT-025,final_engineering_project_plan.md;README.md;docs/methodology.md,nist_sp800_98_2007;baltech_wiegand_specification;nist_sp800_53r5_2020,AST-017,External concepts provide technical background; the model excludes physical motion and passenger safety.,drafted_with_limit
3,Engineering Context and System Boundary,RPT-001;RPT-002;RPT-025;RPT-026,docs/requirements.md;docs/architecture.md;docs/software_design.md,,AST-017,The model begins after signal acquisition and ends before electrical actuation; outputs express authorization only.,drafted_with_limit
4,Research Methodology and Limitations,RPT-027,docs/methodology.md;evidence/claim_evidence_matrix.csv;evidence/source_index.md;data/results/sp07_independent_review_summary.json,nasa_software_engineering_handbook_ver_d,,Lower-authority evidence is not promoted; simulation validates the proposed model only; workflow quality control is not the engineering contribution.,drafted_with_limit
5,Literature Review,RPT-003;RPT-004;RPT-005,evidence/literature_notes.md;docs/literature_review_outline.md;evidence/source_index.md;evidence/unresolved_sources.md;report/references.bib,nist_sp800_98_2007;baltech_wiegand_specification;nist_sp800_53r5_2020;nasa_software_engineering_handbook_ver_d;stm32_rm0008_2014;arm_ads_developer_guide_2001;armv7_ar_reference_manual_2014;marvell_armada38x_2015,,ARM and STM32 are representative only; ARMv7-A/R is not Cortex-M; BALTECH is not a universal electrical standard; LF and HF are logical metadata.,drafted_with_limit
6,Requirements and System Boundary,RPT-006;RPT-008;RPT-009;RPT-010;RPT-011;RPT-013;RPT-025,docs/requirements.md;docs/requirements_to_test_traceability.csv;docs/test_case_inventory.csv;docs/decision_log.md,,AST-007;AST-017,Project-specific software requirements only; six optional requirements are deferred; no physical elevator motion wiring or safety authority.,drafted_with_limit
7,Proposed Reference Architecture,RPT-006;RPT-007;RPT-008;RPT-009;RPT-010;RPT-011;RPT-025,docs/architecture.md;docs/register_model.md;docs/decision_log.md;docs/figures/top_level_architecture.mmd;docs/figures/controller_state_machine.mmd;docs/figures/data_flow.mmd;docs/figures/firmware_architecture.mmd;docs/figures/reset_sequence.mmd;docs/figures/watchdog_sequence.mmd,,AST-010;AST-011;AST-012;AST-013;AST-014;AST-018;AST-019;AST-020,Conceptual project architecture only; logical registers have no physical addresses or MCU implication; five selected diagrams are rendered and included; no electrical or safety design.,drafted_with_limit
8,Software-Model Design and Implementation,RPT-006;RPT-007;RPT-008;RPT-009;RPT-010;RPT-011;RPT-012,docs/software_design.md;docs/register_model.md;docs/reproducibility.md;src/elevator_access_sim/,,AST-009,Python host software only; not embedded firmware or MCU execution; repository is in memory; CLI is an offline adapter.,drafted_with_limit
9,Verification and Experimental Method,RPT-013;RPT-014;RPT-016;RPT-018;RPT-020,docs/test_plan.md;audit/validation/subproject_06_11_verification_records.csv;docs/reproducibility.md;experiments/scalability_config.json;experiments/isolated_operations_config.json;data/results/sp07_quantitative_summary_integrated.json,nasa_software_engineering_handbook_ver_d,AST-001;AST-007,The 976-test SP-06 snapshot is historical; workloads are deterministic; exactly three repetitions and one host; boundaries differ; no raw pooled samples.,drafted_with_limit
10,Results,RPT-013;RPT-014;RPT-015;RPT-016;RPT-017;RPT-018;RPT-019;RPT-020;RPT-021,data/results/sp07_table_experiment_coverage.csv;data/results/sp07_table_correctness.csv;data/results/sp07_table_timing_summary.csv;audit/validation/subproject_07_final_validation_ledger.csv;data/results/sp07_report_artifact_manifest.json,,AST-001;AST-002;AST-003;AST-004;AST-005;AST-006;AST-008;AST-015,Points are repetition averages; line is the median of three; whiskers are repetition-average min/max; no pooling cross-family ranking significance monotonicity complexity hardware or field claim.,drafted_with_limit
11,Discussion,RPT-015;RPT-016;RPT-017;RPT-018;RPT-019;RPT-020;RPT-021;RPT-022;RPT-023;RPT-024,data/results/sp07_anomaly_register.csv;data/results/sp07_independent_review_summary.json;audit/validation/subproject_07_final_validation_ledger.csv;docs/sp07_results_discussion_source_notes.md,,AST-002;AST-003;AST-004;AST-005;AST-006,Observation is separated from interpretation; variability is not a diagnosed defect; one host three repetitions no raw pooling unequal mixed counts distinct boundaries and constructed workloads.,drafted_with_limit
12,Limitations and Validity Threats,RPT-003;RPT-004;RPT-005;RPT-022;RPT-024;RPT-025;RPT-026,docs/requirements.md;docs/architecture.md;evidence/source_index.md;data/results/sp07_anomaly_register.csv;data/results/sp07_independent_review_summary.json,,AST-017,Representative literature software-only scope no physical integration or safety evidence one host three repetitions no raw samples constructed workloads distinct boundaries and no significance analysis.,drafted_with_limit
13,Conclusions and Future Work,RPT-013;RPT-014;RPT-015;RPT-017;RPT-019;RPT-021;RPT-023;RPT-024;RPT-025;RPT-026,data/results/sp07_independent_review_summary.json;audit/validation/subproject_07_final_validation_ledger.csv;README.md;docs/architecture.md,,AST-007;AST-008,Conclusions are limited to simulator verification deterministic reconciliation bounded host observations and source-faithful assets; physical and optional work is future work only.,human_review_required
14,References,RPT-003;RPT-004;RPT-005;RPT-027,report/bibliography_readiness.csv;evidence/source_index.md;evidence/literature_notes.md;report/references.bib,stm32_rm0008_2014;arm_ads_developer_guide_2001;armv7_ar_reference_manual_2014;marvell_armada38x_2015;nist_sp800_98_2007;baltech_wiegand_specification;nist_sp800_53r5_2020;nasa_software_engineering_handbook_ver_d,,Only accepted metadata is used; incomplete educational and internal records are not promoted; first-use IEEE numbering requires human bibliographic review.,human_review_required
15,Appendices,RPT-006;RPT-007;RPT-008;RPT-009;RPT-010;RPT-011;RPT-012;RPT-013;RPT-014;RPT-022,docs/reproducibility.md;docs/requirements_to_test_traceability.csv;docs/test_case_inventory.csv;audit/validation/subproject_06_11_verification_records.csv;experiments/scalability_config.json;experiments/isolated_operations_config.json;data/results/sp07_report_artifact_manifest.json,,AST-007;AST-008;AST-009;AST-015,Appendices summarize rather than dump repository content; optional work remains deferred; commands reproduce software only and contain no private data.,drafted_with_limit
